Reporte de Citas 
Fecha Generada : ;2018-11-26
Nombre : ;Sin
Tipo Agente : ;Relationship Manager
Inicio : ;2018-01-01
Fin : ;2018-11-30

Detalle de Citas Personales
Semana;Fecha;Cliente;Tipo de Cita;Interes;Ramo;Compania;Producto;Tel. Movil;Direccion;Observaciones
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'21;212;2323
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;NWL;Nexterm;'21;212;121
7;2018-02-15 ;121 12;NP  ;Interesado;Vida;NWL;Ultimate;'21;212;
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'21;212;qqq
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;BMI Life;Horizon;'21;212;www
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Salud;BMIec Salud;Hospicare;'21;212;wwwjij
7;2018-02-15 ;121 12;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'21;212;kjii
8;2018-02-20 ;Bajito Bonito;NP  ;Muy Interesado;Vida;NWL;Index Select;'98989;Dhhd;Vzvzv
8;2018-02-20 ;Bajito Bonito;Seg  ;_;Vida;NWL;Index Select;'98989;Dhhd;Hdhd
8;2018-02-20 ;Bajito Bonito;NP  ;No Interesado;Vida;NWL;Ultimate;'98989;Dhhd;Hshz
8;2018-02-20 ;Bajito Bonito;NP  ;Interesado en el futuro;Investments;IT;Platinum;'98989;Dhhd;Bzbzh
8;2018-02-20 ;Bajito Bonito;NP  ;Interesado en el futuro;Salud;BMIec Salud;Sigma;'98989;Dhhd;Bzbzbgzhs
9;2018-03-01 ;121 212;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'212;212;3232
9;2018-03-01 ;121 212;NP  ;Interesado en el futuro;Vida;BMI Life;Term 100;'212;212;3232
9;2018-03-01 ;121 212;NP  ;;Vida;NWL;Ultimate;'212;212;
9;2018-03-01 ;1212 212;NP  ;Interesado;Vida;NWL;Index Select;'212;212;
9;2018-03-01 ;212 212;NP  ;Muy Interesado;Vida;NWL;Index Select;'212;2121;21212
9;2018-03-01 ;1212 212;NP  ;Interesado;Vida;NWL;Ultimate;'212;212;
9;2018-03-01 ;232 323 848484;POS  ;_;Vida;BMI Life;Best Indexed;'2323;2332;2323
9;2018-03-01 ;33232 323;NP  ;Interesado;Vida;NWL;Index Select;'323;323;
9;2018-03-01 ;12 212;NP  ;Interesado;Vida;NWL;Index Select;'2121;212;la prximasemana
9;2018-03-02 ;Ggg Ggg;NP  ;Interesado;Vida;NWL;Ultimate;'388373;Shshsh;Hshsh
9;2018-03-02 ;Ggg Ggg;NP  ;Interesado;Vida;NWL;Ultimate;'388373;Shshsh;Hshsh
9;2018-03-02 ;Ggg Ggg;NP  ;Interesado en el futuro;Vida;BMI Life;Term 100;'388373;Shshsh;Hshsh
9;2018-03-02 ;Ghost Piti;Cierre  ;_;Vida;NWL;Ultimate;'121;12122222;
9;2018-03-02 ;Bzbsh Hshsh;NP  ;Interesado;Vida;NWL;Ultimate;'166161;Shahha;Gzbzh
9;2018-03-02 ;Bzbsh Hshsh;NP  ;Interesado;Vida;NWL;Ultimate;'166161;Shahha;Gzbzh
9;2018-03-02 ;Hshs Gsgs;NP  ;No Interesado;Vida;BMI Life;Horizon;'72727;Vagah;VagBz
9;2018-03-02 ;Bzsb _;NP  ;Muy Interesado;Vida;BMI Life;Term 100;'1871;Vsbzb;Bagavz
9;2018-03-02 ;Bzsb _;NP  ;Interesado;Salud;PC;World Access;'1871;Vsbzb;Bagavz
9;2018-03-02 ;Bzsb _;NP  ;Muy Interesado;Vida;NWL;Index Select;'1871;Vsbzb;Bagavz
9;2018-03-02 ;232 323 848484;POS  ;_;Vida;BMI Life;Best Indexed;'2323;2332;Bbbb
10;2018-03-05 ;Hshshs Sshhs;NP  ;Interesado;Vida;NWL;Index Select;'1526262;Shehsh;
10;2018-03-05 ;22 22;NP  ;Interesado;Salud;PC;World Access;'22;222;11
10;2018-03-06 ;Xkxb Jcjf;NP  ;;Vida;NWL;Nexterm;'8668;Fjjfjfj;
10;2018-03-07 ;Ghost Piti;POS  ;_;Vida;NWL;Ultimate;'121;12122222;Prueva
10;2018-03-07 ;R Tenor;NP  ;No Interesado;Vida;BMI Life;Horizon;'2442;Rshdh;Hno
10;2018-03-08 ;323 32;NP  ;Interesado en el futuro;Vida;NWL;Index Select;'323;32;www
10;2018-03-08 ;122 12;NP  ;Interesado;Vida;NWL;Index Select;'121;1221;
10;2018-03-08 ;323 32;NP  ;Interesado;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;122 12;NP  ;Interesado;Vida;NWL;Ultimate;'121;1221;2121
10;2018-03-08 ;323 32;NP  ;Muy Interesado;Vida;NWL;Index Select;'323;32;uiiu
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 12;Seg  ;_;Vida;NWL;Ultimate;'21;23232;3232
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;122 12;NP  ;Interesado;Vida;NWL;Index Select;'121;1221;
10;2018-03-08 ;122 12;NP  ;Interesado;Vida;NWL;Ultimate;'121;1221;212
10;2018-03-08 ;122 12;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'121;1221;121
10;2018-03-08 ;323 32;NP  ;Muy Interesado;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;Muy Interesado;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;Muy Interesado;Vida;NWL;Index Select;'323;32;2121
10;2018-03-08 ;323 32;NP  ;Interesado;Vida;NWL;Ultimate;'323;32;22
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;Interesado;Vida;NWL;Ultimate;'323;32;22
10;2018-03-08 ;323 32;NP  ;;Vida;NWL;Index Select;'323;32;
10;2018-03-08 ;323 32;NP  ;;Salud;BMIec Salud;Infinity;'323;32;
10;2018-03-08 ;323 32;NP  ;Interesado;Vida;NWL;Ultimate;'323;32;
10;2018-03-08 ;323 32;NP  ;Interesado;Vida;NWL;Index Select;'323;32;ss
10;2018-03-08 ;122 12;NP  ;Interesado;Vida;NWL;Index Select;'121;1221;
10;2018-03-08 ;323 32;NP  ;Interesado en el futuro;Vida;NWL;Index Select;'323;32;www
10;2018-03-09 ;J7vu Bjvu;NP  ;Interesado en el futuro;Salud;BMI Health;Ideal;'6968;Xuxux;Ujhh
10;2018-03-09 ;Bdbdb Hdbdb;NP  ;Interesado;Vida;NWL;Ultimate;'7979;Bxbdbd;Bxbxbx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Interesado;Vida;NWL;Ultimate;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Interesado;Vida;NWL;Ultimate;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Muy Interesado;Vida;NWL;Index Select;'717282;Heusisi;Hshshx
11;2018-03-12 ;Gshshs Gshgs;NP  ;Muy Interesado;Vida;NWL;Index Select;'717282;Heusisi;Hshshx
11;2018-03-13 ;21 212;POS  ;_;Vida;NWL;Index Select;'212;212;wqwq
11;2018-03-13 ;21 212;POS  ;_;Vida;BMI Life;Horizon;'212;212;21212
11;2018-03-13 ;Hshshs Ywyeye;NP  ;Muy Interesado;Vida;NWL;Index Select;'727273;Eueue;Hshhs
11;2018-03-13 ;222 22;NP  ;Interesado en el futuro;Vida;NWL;Index Select;'222;222;kkk
11;2018-03-14 ;323 12;NP  ;;Vida;NWL;Index Select;'21;23232;
11;2018-03-14 ;323 12;NP  ;Interesado;Vida;NWL;Ultimate;'21;23232;
11;2018-03-14 ;a catita 21212;NP  ;Interesado;Vida;NWL;Ultimate;'2121;212;
11;2018-03-14 ;a catita 21212;NP  ;Interesado;Vida;NWL;Ultimate;'2121;212;esteoojdjjdjdjd aaaaa ddjjdjd17717171@42774&&&&
11;2018-03-14 ;Hhshx Gsgsg;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'626262;Yeye;Bdbdhd
11;2018-03-14 ;Ywye Euuee;NP  ;Interesado;Vida;NWL;Ultimate;'515155;Hshs;Hzbdbs
11;2018-03-14 ;Ywye Euuee;POS  ;_;Vida;NWL;Ultimate;'515155;Hshs;Dhdhd
11;2018-03-14 ;212 1212;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'2121;2121;iiiwiwi
11;2018-03-14 ;222 22;Cierre  ;_;Vida;NWL;Index Select;'222;222;kkjkjk
11;2018-03-15 ;Hsbs Jdjsj;NP  ;Interesado en el futuro;Salud;PC;Preferred Access;'3131;26Yw;
12;2018-03-20 ;jose joau;NP  ;Interesado en el futuro;Vida;BMI Life;Term 95;'2425862;vmt;
12;2018-03-21 ;21 212;NP  ;;Vida;NWL;Index Select;'212;212;
12;2018-03-21 ;21 212;NP  ;;Vida;NWL;Index Select;'212;212;
12;2018-03-21 ;21 212;NP  ;;Salud;PC;World Access;'212;212;
12;2018-03-21 ;21 212;NP  ;;Vida;NWL;Ultimate;'212;212;
12;2018-03-21 ;21 212;NP  ;;Investments;IT;Evolution;'212;212;
12;2018-03-21 ;21 212;NP  ;;Vida;NWL;Ultimate;'212;212;
12;2018-03-21 ;21 212;NP  ;Interesado;Vida;PAIIC;Legacy Value;'212;212;qwq
12;2018-03-21 ;21 212;NP  ;Interesado;Vida;NWL;Ultimate;'212;212;
12;2018-03-21 ;21 212;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'212;212;2121
12;2018-03-21 ;21 212;NP  ;Interesado en el futuro;Vida;BMI Life;Horizon;'212;212;2121
12;2018-03-21 ;21 212;NP  ;Interesado en el futuro;Salud;PC;Preferred Access;'212;212;2121
12;2018-03-21 ;21 212;NP  ;Interesado;Salud;BMIec Salud;Hospicare;'212;212;2121
12;2018-03-21 ;21 212;NP  ;;Salud;PC;World Access;'212;212;
12;2018-03-21 ;21 212;NP  ;Interesado en el futuro;Salud;PC;Preferred Access;'212;212;
14;2018-04-02 ;3232 132;NP  ;Interesado;Vida;BMI Life;Term 100;'323;3232;2121
14;2018-04-02 ;R Jt;NP  ;No Interesado;Vida;BMI Life;Term 95;'2425583;Lima;
14;2018-04-04 ;ww ww;NP  ;Muy Interesado;Vida;NWL;Index Select;'None;ww;
14;2018-04-04 ;2323 32;Cierre  ;_;Vida;NWL;Index Select;'323;323;21212
14;2018-04-04 ;prueba vfr;Seg  ;_;Vida;PAIIC;NexGen;'2456745;;ioioio
14;2018-04-04 ;43 43;NP  ;Interesado en el futuro;Investments;IT;Platinum;'43;43;4343
14;2018-04-04 ;Andy Jo;NP  ;Interesado;Vida;NWL;Ultimate;'980729169;Surco;Hdhzhz
14;2018-04-04 ;prueba vfr;NP  ;Interesado en el futuro;Vida;PAIIC;NexGen;'2456745;;obtimo
14;2018-04-04 ;Agdbd Andy;NP  ;Muy Interesado;Vida;NWL;Ultimate;'458484;980729169;Fvnmvf
14;2018-04-04 ;2323 32;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'323;323;21212
14;2018-04-04 ;prueba vfr;NP  ;No Interesado;Vida;PAIIC;NexGen;'2456745;;
14;2018-04-04 ;2323 32;NP  ;Interesado;Vida;NWL;Index Select;'323;323;21212
14;2018-04-04 ;Andy Jo;Cierre  ;_;Vida;NWL;Ultimate;'980729169;Surco;Hdhzhz
14;2018-04-04 ;ww ww;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'None;ww;
14;2018-04-04 ;Agdbd Andy;Cierre  ;_;Vida;NWL;Ultimate;'458484;980729169;Fvnmvf
14;2018-04-04 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'None;ww;www
14;2018-04-04 ;2323 32;Cierre  ;_;Vida;NWL;Ultimate;'323;323;21212
14;2018-04-04 ;4343 434;NP  ;Interesado;Vida;NWL;Ultimate;'434;434;4343
14;2018-04-04 ;121 32332;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'323;3232;
14;2018-04-05 ;323 323;NP  ;Interesado en el futuro;Salud;PC;World Access;'323;32;32232
14;2018-04-05 ;4343 343;NP  ;Interesado;Vida;NWL;Ultimate;'434;434;343434
14;2018-04-05 ;212 21;NP  ;Interesado;Vida;NWL;Index Max;'212;21;
14;2018-04-05 ;4343 343;Cierre  ;_;Vida;NWL;Ultimate;'434;434;343434
14;2018-04-05 ;pitmitri 2121;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'212;212;32323
14;2018-04-05 ;212 21;Cierre  ;_;Vida;NWL;Index Max;'212;21;
14;2018-04-05 ;323 323;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'323;32;ee2e2e
14;2018-04-05 ;323 323;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'323;32;sdsd
15;2018-04-10 ;ww ww;Cierre  ;_;Vida;NWL;Index Select;'22;22;Plan completo
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'22;22;32323
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Index Select;'22;22;
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Index Select;'22;22;
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Index Select;'22;22;
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Ultimate;'22;22;
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Index Select;'22;22;ww
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Ultimate;'22;22;32323
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'22;22;
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Index Select;'22;22;ww
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'22;22;78787
15;2018-04-11 ;Bbd Vsvd;NP  ;Interesado;Vida;NWL;Index Select;'94979;Hshs;Vxvxbd
15;2018-04-11 ;212 21;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'21;212;2121212
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'22;22;uyuyuyuyu
15;2018-04-11 ;21 21;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'21;212;2121
15;2018-04-11 ;21 21;NP  ;Interesado;Vida;NWL;Ultimate;'21;212;211
15;2018-04-11 ;21 21;NP  ;Interesado;Salud;PC;Preferred Access;'21;212;212323
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Ultimate;'22;22;78787
15;2018-04-11 ;ww ww;Cierre  ;_;Vida;NWL;Ultimate;'22;22;uyuyuyuyu
15;2018-04-11 ;ww ww;NP  ;Muy Interesado;Vida;NWL;Index Select;'22;22;hehehehe
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Index Select;'22;22;hehehehe
15;2018-04-11 ;ww ww;NP  ;Interesado;Vida;NWL;Ultimate;'22;22;243434
15;2018-04-11 ;232 323;NP  ;Interesado;Vida;NWL;Ultimate;'23;322;232
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Index Select;'24258613;co es esa forma de habklas;uiui
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;iii
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;BMI Life;Term 100;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Muy Interesado;Salud;PC;Preferred Access;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;BMI Life;Term 100;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;qq
15;2018-04-14 ;jose santos tenorio;NP  ;Muy Interesado;Vida;NWL;Index Select;'24258613;co es esa forma de habklas;qq
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado;Vida;NWL;Nexterm;'24258613;co es esa forma de habklas;
15;2018-04-14 ;jose santos tenorio;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'24258613;co es esa forma de habklas;qq
16;2018-04-17 ;Joel Rosas;NP  ;Muy Interesado;Vida;NWL;Index Select;'5236589;Vxbeje;Esto es una 
16;2018-04-17 ;Aiime Rojas;NP  ;Interesado;Vida;NWL;Ultimate;'666;Los pinos;Estoy interaado
16;2018-04-18 ;Gvg Tgg;NP  ;Interesado;Vida;NWL;Ultimate;'855;Fffg;
16;2018-04-18 ;Vvcg Gcc;NP  ;Interesado;Salud;BMI Health;Azure;'888;Tfc;
16;2018-04-19 ;Andrs Ace;NP  ;Interesado;Vida;PAIIC;Tradition Plus;'2212212;Las begonias 142;Que el plan incluya programa dental
16;2018-04-19 ;Andrs Ace;NP  ;Muy Interesado;Investments;IT;Access Portfolio;'2212212;Las begonias 142;Ofrecerle el plan principal
16;2018-04-20 ;Luz Acacia;Entrega  ;_;Vida;NWL;Ultimate;'5889585;Los pinos 135 miraflores;
16;2018-04-22 ;Andrs Ace;Entrega  ;_;Vida;PAIIC;Tradition Plus;'2212212;Las begonias 142;Ya esta
17;2018-04-23 ;Andrs Ace;POS  ;_;Vida;PAIIC;Tradition Plus;'2212212;Las begonias 142;
17;2018-04-24 ;Andre Ace;NP  ;Muy Interesado;Vida;NWL;Index Select;'55632966;La mar 865 Miraflores;Esto dd
17;2018-04-24 ;Andre Ace;NP  ;Interesado;Vida;NWL;Index Select;'55632966;La mar 865 Miraflores;Hdhdhd
17;2018-04-24 ;Andre Ace;NP  ;Muy Interesado;Vida;NWL;Index Select;'55632966;La mar 865 Miraflores;Bzbzz
17;2018-04-24 ;Andrs Ace;POS  ;_;Vida;PAIIC;Tradition Plus;'2212212;Las begonias 142;
17;2018-04-24 ;Andre Ace;NP  ;Interesado;Vida;BMI Life;Horizon;'55632966;La mar 865 Miraflores;Debe concretarse antes del 12 de mayo
17;2018-04-24 ;Andre Ace;NP  ;Interesado;Salud;BMIec Salud;Hospicare;'55632966;La mar 865 Miraflores;Para su esposa
17;2018-04-25 ;Luz Acacia;NP  ;Interesado;Salud;BMIec Salud;Hospicare;'5889585;Los pinos 135 miraflores;Para ella y sus 2 nias
17;2018-04-25 ;Luz Acacia;NP  ;Interesado en el futuro;Vida;NWL;Ultimate;'5889585;Los pinos 135 miraflores;Hay que seguir insistiendo
17;2018-04-26 ;43 43;Cierre  ;_;Investments;IT;Platinum;'43;43;
17;2018-04-27 ;Leona Campos;POS  ;_;Salud;BMIec Salud;Infinity;'4543269;Calle;
17;2018-04-28 ;Andrs Ace;NP  ;Muy Interesado;Vida;NWL;Index Select;'2258623;Pino 1243;Bxfb
17;2018-04-30 ;Luz Acacia;Cierre  ;_;Salud;BMIec Salud;Hospicare;'5889585;Los pinos 135 miraflores;
17;2018-04-30 ;Leona Campos;POS  ;_;Salud;BMIec Salud;Infinity;'4543269;Calle;
18;2018-05-02 ;Leona Campos;NP  ;Interesado en el futuro;Salud;BMIec Salud;Infinity;'4543269;Calle;Lo est pensando
20;2018-05-14 ;Daniel Perez;Cierre  ;_;Vida;NWL;Ultimate;'2234555;Sauces 294;
20;2018-05-14 ;Daniel Perez;NP  ;Muy Interesado;Vida;NWL;Ultimate;'2234555;Sauces 294;Vip
22;2018-05-30 ;Daniel Perez;POS  ;_;Vida;NWL;Ultimate;'2234555;Sauces 294;Baja observacion
23;2018-06-07 ;Vxvx Jdjd;NP  ;Interesado;Vida;NWL;Index Select;'5757;Dhd;Bzbxbd
39;2018-09-24 ;Bbxbx Hxhd;NP  ;Interesado;Vida;BMI Life;Term 95;'8757;Bdbd;Xbbdb
41;2018-10-10 ;Hxbdbd Vzvdv;NP  ;Interesado;Vida;BMI Life;Term 95;'87878;Hzvdv;Vxvdv
45;2018-11-08 ;Vdbd Shshs;NP  ;Interesado;Vida;BMI Life;Term 95;'4884;Gsvd;

Detalle de Citas de Acompanamiento
Semana;Fecha;Agente;Cliente;Tipo de Cita;Ramo;Compania;Producto;Observaciones

Detalle de Citas de Equipo
Semana;Fecha;Agente;Cliente;Tipo de Cita;Interes;Ramo;Compania;Producto;Telefono;Direccion;Observacion
